USER_ID,DOB_STR,STATUS
2110105,11042008,ACTIVE
2110106,17081994,ACTIVE
2110107,15072006,ACTIVE
2110108,07062009,ACTIVE
2110109,24121998,ACTIVE
2110110,12042002,ACTIVE
2110111,02032008,ACTIVE
2110112,05102021,ACTIVE
2110113,13062009,ACTIVE
2110114,01011900,NON-ACTIVE
2110115,04111998,ACTIVE
2110116,29112005,ACTIVE
2110117,30082005,ACTIVE
2110118,16092004,ACTIVE
2110119,03062007,ACTIVE
2110120,21062000,ACTIVE
2110121,29062008,ACTIVE
2110122,10062006,ACTIVE
2110123,10112007,ACTIVE
2110124,19012009,ACTIVE
2110125,29042001,ACTIVE
2110126,05071985,ACTIVE
2110127,08062001,ACTIVE
2110128,12022007,BLACKLIST
2110129,04032004,ACTIVE
2110130,25032007,ACTIVE
2110131,04092021,ACTIVE
2110132,01012007,ACTIVE
2110133,24102005,ACTIVE
2110134,04102003,ACTIVE
2110135,04042005,ACTIVE
2110136,01011900,NON-ACTIVE
2110137,07052007,ACTIVE
2110138,22072009,ACTIVE
2111101,16032001,ACTIVE
2111102,11122000,ACTIVE
2111103,25012004,ACTIVE
2111104,30032001,ACTIVE
2111105,29121999,ACTIVE
2111106,13092005,ACTIVE
2111107,11042008,ACTIVE
2111108,03062009,ACTIVE
2111109,19091996,ACTIVE
2111110,04112006,ACTIVE
2111111,11081996,ACTIVE
2111112,08121988,ACTIVE
2111113,25032001,ACTIVE
2111114,06082008,ACTIVE
2111115,03102004,ACTIVE
2111116,08102005,ACTIVE
2111117,19032008,ACTIVE
2111118,09032008,ACTIVE
2111119,30122006,ACTIVE
2112101,19042009,ACTIVE
2112102,22051979,ACTIVE
2112103,10122006,ACTIVE
2112104,06011989,ACTIVE
2112105,17072008,ACTIVE
2112106,27102006,ACTIVE
2112107,29032000,ACTIVE
2112108,10122007,ACTIVE
2112109,07121997,ACTIVE
2112110,31081997,ACTIVE
2112111,28022007,ACTIVE
2112112,19022009,ACTIVE
2112113,24071986,ACTIVE
2112114,25112006,ACTIVE
2112115,17041984,ACTIVE
2112116,03041999,ACTIVE
2112117,16082008,ACTIVE
2112118,27032003,ACTIVE
2112119,14062008,ACTIVE
2112120,02032000,ACTIVE
2112121,09041978,ACTIVE
2201101,03052008,ACTIVE
2201102,07111998,ACTIVE
2201103,08042008,ACTIVE
2201104,13042004,ACTIVE
2201105,20041997,ACTIVE
2201106,11062009,ACTIVE
2201107,15032001,ACTIVE
2201108,17102004,ACTIVE
2201109,11052008,ACTIVE
2201110,03072001,ACTIVE
2201111,24102010,ACTIVE
2201112,23032009,ACTIVE
2201113,23102021,ACTIVE
2201114,02052010,ACTIVE
2201115,29112005,ACTIVE
2202101,28051994,ACTIVE
2202102,19082010,ACTIVE
2202103,03102006,ACTIVE
2202104,18062008,ACTIVE
2202105,08021994,ACTIVE
2202106,07042007,ACTIVE
2202107,24122007,ACTIVE
2202108,25012008,ACTIVE
2202109,10122004,ACTIVE
2202110,19122000,ACTIVE
2202111,08042007,ACTIVE
2202112,30042008,ACTIVE
2202113,19102007,ACTIVE
2202114,18072009,ACTIVE
2202115,16102003,ACTIVE
2202116,28022008,ACTIVE
2202117,05052006,ACTIVE
2202118,06081994,ACTIVE
2203101,01072008,ACTIVE
2203102,03112007,ACTIVE
2203103,02081997,ACTIVE
2203104,17102006,ACTIVE
2203105,15022009,ACTIVE
2203106,15072004,ACTIVE
2203107,21042006,ACTIVE
2203108,21022006,ACTIVE
2203109,03092008,ACTIVE
2203110,27072005,ACTIVE
2203111,08031975,ACTIVE
2203112,12122008,ACTIVE
2203113,18052005,ACTIVE
2203114,07041999,ACTIVE
2203115,30042001,ACTIVE
2203116,23032005,ACTIVE
2204101,13011995,BLACKLIST
2204102,17042006,ACTIVE
2204103,12112008,ACTIVE
2204104,03042010,ACTIVE
2204105,23072003,ACTIVE
2204106,22012008,ACTIVE
2204107,24032001,ACTIVE
2204108,18012008,ACTIVE
2204109,26102001,ACTIVE
2204110,21112007,ACTIVE
2204111,13041999,ACTIVE
2204112,20112008,ACTIVE
2204113,29092000,ACTIVE
2204114,13022008,ACTIVE
